,user_id,age,sex,occupation,zip_code,#_ratings,RMSE
0,1,24,M,technician,85711,272,0.6438498344839542
1,2,53,F,other,94043,62,0.5449505888928237
2,3,23,M,writer,32067,54,0.48993059635133424
3,4,24,M,technician,43537,24,0.3344246407504174
4,5,33,F,other,15213,175,0.5526199854200188
5,6,42,M,executive,98101,211,0.602595392158633
6,7,57,M,administrator,91344,403,0.5872305182594317
7,8,36,M,administrator,05201,59,0.6058871615748624
8,9,29,M,student,01002,22,0.40189052393933034
9,10,53,M,lawyer,90703,184,0.44079331178146275
10,11,39,F,other,30329,181,0.6362548675205557
11,12,28,F,other,06405,51,0.37663732982355763
12,13,47,M,educator,29206,636,0.5076239846430634
13,14,45,M,scientist,55106,98,0.6041391187875907
14,15,49,F,educator,97301,104,0.6900758614019636
15,16,21,M,entertainment,10309,140,0.6220189306969014
16,17,30,M,programmer,06355,28,0.3396250841766434
17,18,35,F,other,37212,277,0.599543007266412
18,19,40,M,librarian,02138,20,0.4036485356594956
19,20,42,F,homemaker,95660,48,0.5909830647252823
20,21,26,M,writer,30068,179,0.5262499263803977
21,22,25,M,writer,40206,128,0.6514539117820018
22,23,30,F,artist,48197,151,0.5618313254787248
23,24,21,F,artist,94533,68,0.5148074251827053
24,25,39,M,engineer,55107,78,0.4167827805137845
25,26,49,M,engineer,21044,107,0.48194790006862415
26,27,40,F,librarian,30030,25,0.523741115376804
27,28,32,M,writer,55369,79,0.5576952119886457
28,29,41,M,programmer,94043,34,0.3499636760671081
29,30,7,M,student,55436,43,0.4832651632531279
30,31,24,M,artist,10003,36,0.3017929489307745
31,32,28,F,student,78741,41,0.4407557278558054
32,33,23,M,student,27510,24,0.289593122016096
33,34,38,F,administrator,42141,20,0.3162100265524883
34,35,20,F,homemaker,42459,25,0.33163917622780564
35,36,19,F,student,93117,20,0.23879976254793356
36,37,23,M,student,55105,57,0.5958962700952719
37,38,28,F,other,54467,121,0.5065485780833907
38,39,41,M,entertainment,01040,22,0.37518844160984177
39,40,38,M,scientist,27514,35,0.5371602267737589
40,41,33,M,engineer,80525,52,0.3962220991807337
41,42,30,M,administrator,17870,183,0.5300699225436041
42,43,29,F,librarian,20854,221,0.6286412327460058
43,44,26,M,technician,46260,151,0.728963478276052
44,45,29,M,programmer,50233,48,0.45356570340072966
45,46,27,F,marketing,46538,27,0.48153314388822865
46,47,53,M,marketing,07102,25,0.2624923266792128
47,48,45,M,administrator,12550,66,0.6084776752962241
48,49,23,F,student,76111,215,0.5310140992784703
49,50,21,M,writer,52245,24,0.388863527125514
50,51,28,M,educator,16509,23,0.4056438190353001
51,52,18,F,student,55105,56,0.34322387946353555
52,53,26,M,programmer,55414,28,0.28820746975106504
53,54,22,M,executive,66315,65,0.5144609584874529
54,55,37,M,programmer,01331,21,0.6209969563978419
55,56,25,M,librarian,46260,187,0.6516491909587373
56,57,16,M,none,84010,106,0.5114050471208084
57,58,27,M,programmer,52246,154,0.5153185225270146
58,59,49,M,educator,08403,382,0.6029060045197701
59,60,50,M,healthcare,06472,208,0.45954397824244725
60,61,36,M,engineer,30040,21,0.4999916754438532
61,62,27,F,administrator,97214,232,0.6446259490358941
62,63,31,M,marketing,75240,93,0.5393971695822349
63,64,32,M,educator,43202,200,0.6284220708101422
64,65,51,F,educator,48118,80,0.48527110968766174
65,66,23,M,student,80521,38,0.6574004198753192
66,67,17,M,student,60402,30,0.40521515917379963
67,68,19,M,student,22904,34,0.7073089505459322
68,69,24,M,engineer,55337,65,0.48386962238871234
69,70,27,M,engineer,60067,131,0.5024926257702614
70,71,39,M,scientist,98034,38,0.5991943262914623
71,72,48,F,administrator,73034,137,0.6351263673237385
72,73,24,M,student,41850,66,0.4061506466018554
73,74,39,M,scientist,T8H1N,39,0.2855535292270074
74,75,24,M,entertainment,08816,79,0.7359558394853273
75,76,20,M,student,02215,82,0.5783566037398183
76,77,30,M,technician,29379,72,0.7084400675054732
77,78,26,M,administrator,61801,21,0.34728527591095854
78,79,39,F,administrator,03755,55,0.3848234663828335
79,80,34,F,administrator,52241,29,0.5270046144027232
80,81,21,M,student,21218,58,0.593308021281981
81,82,50,M,programmer,22902,168,0.6191425399618404
82,83,40,M,other,44133,155,0.5882577646422245
83,84,32,M,executive,55369,68,0.4734422883366385
84,85,51,M,educator,20003,288,0.5503706876240021
85,86,26,M,administrator,46005,23,0.3880765331187216
86,87,47,M,administrator,89503,211,0.5295983252622477
87,88,49,F,librarian,11701,21,0.38252273481979454
88,89,43,F,administrator,68106,76,0.4508061798615061
89,90,60,M,educator,78155,300,0.550090555514241
90,91,55,M,marketing,01913,98,0.5579140142135232
91,92,32,M,entertainment,80525,388,0.5757130806493677
92,93,48,M,executive,23112,20,0.5457128376905639
93,94,26,M,student,71457,400,0.5679724736475645
94,95,31,M,administrator,10707,278,0.6461655779095068
95,96,25,F,artist,75206,56,0.4282635335973139
96,97,43,M,artist,98006,63,0.6487844982141941
97,98,49,F,executive,90291,27,0.5990385999462985
98,99,20,M,student,63129,136,0.5776567084470442
99,100,36,M,executive,90254,59,0.33897445235448964
100,101,15,M,student,05146,67,0.44045659711088336
101,102,38,M,programmer,30220,216,0.5774406109284391
102,103,26,M,student,55108,29,0.4016995284285068
103,104,27,M,student,55108,111,0.6393307153337618
104,105,24,M,engineer,94043,23,0.33421637374944735
105,106,61,M,retired,55125,64,0.42316120425485954
106,107,39,M,scientist,60466,22,0.49892132609678963
107,108,44,M,educator,63130,33,0.4756262049013784
108,109,29,M,other,55423,234,0.649669345041611
109,110,19,M,student,77840,133,0.4896252488924563
110,111,57,M,engineer,90630,24,0.3594396445090674
111,112,30,M,salesman,60613,46,0.5080668004487239
112,113,47,M,executive,95032,51,0.650594809816905
113,114,27,M,programmer,75013,48,0.49732312433932996
114,115,31,M,engineer,17110,92,0.5368359011524129
115,116,40,M,healthcare,97232,143,0.5702742509008958
116,117,20,M,student,16125,86,0.5794574135238514
117,118,21,M,administrator,90210,71,0.4484458047967238
118,119,32,M,programmer,67401,181,0.6304471576875639
119,120,47,F,other,06260,26,0.3974488038875402
120,121,54,M,librarian,99603,74,0.7443503162302507
121,122,32,F,writer,22206,61,0.4645147985253989
122,123,48,F,artist,20008,54,0.5838856529530205
123,124,34,M,student,60615,24,0.5015967456416801
124,125,30,M,lawyer,22202,182,0.6033278465741888
125,126,28,F,lawyer,20015,45,0.6013915835764914
126,127,33,M,none,73439,23,0.47876478911615805
127,128,24,F,marketing,20009,184,0.6441158868673564
128,129,36,F,marketing,07039,30,0.4135692582076787
129,130,20,M,none,60115,353,0.5991512327091143
130,131,59,F,administrator,15237,30,0.4704517196575363
131,132,24,M,other,94612,22,0.27341547321595205
132,133,53,M,engineer,78602,26,0.24159051548121038
133,134,31,M,programmer,80236,25,0.3356266432673914
134,135,23,M,student,38401,55,0.4170945935242607
135,136,51,M,other,97365,35,0.3412113645093266
136,137,50,M,educator,84408,47,0.45967027710334013
137,138,46,M,doctor,53211,51,0.4420843099604295
138,139,20,M,student,08904,24,0.3325646180770625
139,140,30,F,student,32250,21,0.14633260633348652
140,141,49,M,programmer,36117,107,0.49141392465045997
141,142,13,M,other,48118,33,0.47227712245704834
142,143,42,M,technician,08832,20,0.2505144797258512
143,144,53,M,programmer,20910,206,0.6808181097246594
144,145,31,M,entertainment,V3N4P,316,0.6024066024461935
145,146,45,M,artist,83814,29,0.3183057179022375
146,147,40,F,librarian,02143,20,0.23741526260325846
147,148,33,M,engineer,97006,65,0.5939596391242256
148,149,35,F,marketing,17325,36,0.4492384381115992
149,150,20,F,artist,02139,32,0.49797502077089556
150,151,38,F,administrator,48103,307,0.612925016960836
151,152,33,F,educator,68767,106,0.5956282400702557
152,153,25,M,student,60641,23,0.6495703292029286
153,154,25,M,student,53703,51,0.3670481321864563
154,155,32,F,other,11217,22,0.34839109630777887
155,156,25,M,educator,08360,37,0.3306421863101755
156,157,57,M,engineer,70808,51,0.42248442167792444
157,158,50,M,educator,27606,173,0.6042094408200533
158,159,23,F,student,55346,107,0.5687842397042665
159,160,27,M,programmer,66215,120,0.5349238704314677
160,161,50,M,lawyer,55104,58,0.44541648845295617
161,162,25,M,artist,15610,42,0.45057893545567146
162,163,49,M,administrator,97212,23,0.29296005538321573
163,164,47,M,healthcare,80123,63,0.4681926471095246
164,165,20,F,other,53715,30,0.3552096487159374
165,166,47,M,educator,55113,20,0.49970421334440795
166,167,37,M,other,L9G2B,69,0.4409073009603064
167,168,48,M,other,80127,69,0.5476132350177471
168,169,52,F,other,53705,37,0.6140242990946866
169,170,53,F,healthcare,30067,22,0.2958199407485476
170,171,48,F,educator,78750,28,0.37562321481873856
171,172,55,M,marketing,22207,27,0.41365990943490727
172,173,56,M,other,22306,43,0.3660407662520753
173,174,30,F,administrator,52302,177,0.5453434128900283
174,175,26,F,scientist,21911,38,0.47250762730906193
175,176,28,M,scientist,07030,63,0.5766844647939899
176,177,20,M,programmer,19104,115,0.5330405870288617
177,178,26,M,other,49512,273,0.582499736409643
178,179,15,M,entertainment,20755,42,0.3524644568465551
179,180,22,F,administrator,60202,63,0.5390990405504231
180,181,26,M,executive,21218,435,0.48913062422803416
181,182,36,M,programmer,33884,28,0.4668688730562692
182,183,33,M,scientist,27708,53,0.47746997585447615
183,184,37,M,librarian,76013,251,0.5409526293329004
184,185,53,F,librarian,97403,48,0.44913092957169287
185,186,39,F,executive,00000,92,0.5403312955481828
186,187,26,M,educator,16801,56,0.5416862218509838
187,188,42,M,student,29440,112,0.5817308812715649
188,189,32,M,artist,95014,187,0.5581732847995823
189,190,30,M,administrator,95938,59,0.5239478558731825
190,191,33,M,administrator,95161,27,0.34420446386662445
191,192,42,M,educator,90840,35,0.5048931417156909
192,193,29,M,student,49931,121,0.5629984175192878
193,194,38,M,administrator,02154,305,0.6112081677949716
194,195,42,M,scientist,93555,96,0.4965007110075671
195,196,49,M,writer,55105,39,0.38904168880466855
196,197,55,M,technician,75094,118,0.5631289787495596
197,198,21,F,student,55414,181,0.6177405313083447
198,199,30,M,writer,17604,40,0.46009664606601053
199,200,40,M,programmer,93402,216,0.5776123381459213
200,201,27,M,writer,E2A4H,386,0.6208764708696825
201,202,41,F,educator,60201,20,0.5743672238185151
202,203,25,F,student,32301,43,0.5392470280860855
203,204,52,F,librarian,10960,42,0.37906657279708983
204,205,47,M,lawyer,06371,22,0.43427138403645793
205,206,14,F,student,53115,64,0.5051642186023865
206,207,39,M,marketing,92037,230,0.5371878427684387
207,208,43,M,engineer,01720,33,0.3274660057802073
208,209,33,F,educator,85710,33,0.3086939292127218
209,210,39,M,engineer,03060,132,0.4985155707674517
210,211,66,M,salesman,32605,37,0.536344670227602
211,212,49,F,educator,61401,25,0.5114288145078613
212,213,33,M,executive,55345,126,0.5920437488212534
213,214,26,F,librarian,11231,128,0.6144814071722858
214,215,35,M,programmer,63033,93,0.5834193377974339
215,216,22,M,engineer,02215,131,0.5818556365521992
216,217,22,M,other,11727,76,0.7046108106958013
217,218,37,M,administrator,06513,53,0.41390002329122716
218,219,32,M,programmer,43212,28,0.6838272813079583
219,220,30,M,librarian,78205,22,0.31867505792831424
220,221,19,M,student,20685,146,0.5849542500923351
221,222,29,M,programmer,27502,387,0.5775787275090146
222,223,19,F,student,47906,105,0.5784170194088636
223,224,31,F,educator,43512,141,0.5017891887792689
224,225,51,F,administrator,58202,27,0.4506855294623816
225,226,28,M,student,92103,50,0.5302751219387847
226,227,46,M,executive,60659,58,0.43655238501626803
227,228,21,F,student,22003,21,0.4443176182358174
228,229,29,F,librarian,22903,30,0.3376079635562184
229,230,28,F,student,14476,133,0.561871402333204
230,231,48,M,librarian,01080,21,0.242042862276178
231,232,45,M,scientist,99709,93,0.5611539076771611
232,233,38,M,engineer,98682,110,0.5934795884277628
233,234,60,M,retired,94702,480,0.5589782475709623
234,235,37,M,educator,22973,94,0.5546435602687364
235,236,44,F,writer,53214,124,0.72128738876893
236,237,49,M,administrator,63146,48,0.4036451422448115
237,238,42,F,administrator,44124,29,0.34572376041911024
238,239,39,M,artist,95628,159,0.6539387517117516
239,240,23,F,educator,20784,24,0.3155097134622064
240,241,26,F,student,20001,23,0.38594005491997213
241,242,33,M,educator,31404,20,0.38663583167579935
242,243,33,M,educator,60201,81,0.46626616272323257
243,244,28,M,technician,80525,238,0.5900875091483572
244,245,22,M,student,55109,22,0.5056428816819591
245,246,19,M,student,28734,195,0.5450234910558602
246,247,28,M,engineer,20770,26,0.17915474774105286
247,248,25,M,student,37235,56,0.5809485106592985
248,249,25,M,student,84103,161,0.49973564291589057
249,250,29,M,executive,95110,122,0.73649059054919
250,251,28,M,doctor,85032,77,0.5612789518415017
251,252,42,M,engineer,07733,21,0.22502772681026492
252,253,26,F,librarian,22903,97,0.6055295289716196
253,254,44,M,educator,42647,159,0.5410941243606788
254,255,23,M,entertainment,07029,83,0.5459114072522353
255,256,35,F,none,39042,207,0.5637092603974353
256,257,17,M,student,77005,57,0.39412253551443477
257,258,19,F,student,77801,23,0.4981119134485335
258,259,21,M,student,48823,46,0.34680231567713476
259,260,40,F,artist,89801,24,0.24016873291288068
260,261,28,M,administrator,85202,27,0.5224816005548102
261,262,19,F,student,78264,160,0.5384258130983804
262,263,41,M,programmer,55346,123,0.5525946117624578
263,264,36,F,writer,90064,120,0.5135333418522658
264,265,26,M,executive,84601,46,0.475286782241058
265,266,62,F,administrator,78756,23,0.3209633615481961
266,267,23,M,engineer,83716,185,0.4484629434040144
267,268,24,M,engineer,19422,328,0.6487786499323507
268,269,31,F,librarian,43201,323,0.5779644155086164
269,270,18,F,student,63119,138,0.6874589457272261
270,271,51,M,engineer,22932,278,0.6607304286261357
271,272,33,M,scientist,53706,51,0.491517186564869
272,273,50,F,other,10016,22,0.3259302504509858
273,274,20,F,student,55414,71,0.5019411305682425
274,275,38,M,engineer,92064,95,0.42312798787276085
275,276,21,M,student,95064,518,0.4829586996900146
276,277,35,F,administrator,55406,54,0.4818603063344468
277,278,37,F,librarian,30033,23,0.39956699814046337
278,279,33,M,programmer,85251,434,0.532007507960408
279,280,30,F,librarian,22903,258,0.6345757749906724
280,281,15,F,student,06059,26,0.30485688817435447
281,282,22,M,administrator,20057,22,0.3479228650574822
282,283,28,M,programmer,55305,53,0.478574554911729
283,284,40,M,executive,92629,47,0.38072876052105786
284,285,25,M,programmer,53713,32,0.4564750182047247
285,286,27,M,student,15217,288,0.5982186164261222
286,287,21,M,salesman,31211,62,0.5871467561280334
287,288,34,M,marketing,23226,75,0.5337662705235323
288,289,11,M,none,94619,27,0.49873852631850163
289,290,40,M,engineer,93550,150,0.5688022357171653
290,291,19,M,student,44106,296,0.5711216068924856
291,292,35,F,programmer,94703,124,0.4999299065870339
292,293,24,M,writer,60804,388,0.5876142893308807
293,294,34,M,technician,92110,150,0.5040120289352213
294,295,31,M,educator,50325,196,0.5794240983014323
295,296,43,F,administrator,16803,147,0.5629043901568456
296,297,29,F,educator,98103,192,0.7267268425143407
297,298,44,M,executive,01581,127,0.5206141355722641
298,299,29,M,doctor,63108,280,0.6077836049711414
299,300,26,F,programmer,55106,20,0.4061105960349957
300,301,24,M,student,55439,275,0.7035824176272589
301,302,42,M,educator,77904,21,0.23094576130498523
302,303,19,M,student,14853,484,0.5449693710750387
303,304,22,F,student,71701,26,0.48467838649737377
304,305,23,M,programmer,94086,222,0.653028482958814
305,306,45,M,other,73132,32,0.3677784792247355
306,307,25,M,student,55454,112,0.5819108565400692
307,308,60,M,retired,95076,397,0.5769300829754804
308,309,40,M,scientist,70802,20,0.25765629431519177
309,310,37,M,educator,91711,21,0.564224419718538
310,311,32,M,technician,73071,294,0.7021517749312784
311,312,48,M,other,02110,223,0.5186641241451905
312,313,41,M,marketing,60035,262,0.5611113084235121
313,314,20,F,student,08043,245,0.5568616286734388
314,315,31,M,educator,18301,87,0.5765382658077055
315,316,43,F,other,77009,75,0.5397755861465778
316,317,22,M,administrator,13210,22,0.33122656774779563
317,318,65,M,retired,06518,174,0.5878221904175319
318,319,38,M,programmer,22030,23,0.24725885502501835
319,320,19,M,student,24060,154,0.5672584512893997
320,321,49,F,educator,55413,125,0.500377617109766
321,322,20,M,student,50613,51,0.41736354981412643
322,323,21,M,student,19149,89,0.513395431993374
323,324,21,F,student,02176,66,0.4301764727561307
324,325,48,M,technician,02139,142,0.4867713507829039
325,326,41,M,administrator,15235,187,0.6625945162396473
326,327,22,M,student,11101,284,0.6681099337757709
327,328,51,M,administrator,06779,283,0.537869353002844
328,329,48,M,educator,01720,65,0.4172392285564117
329,330,35,F,educator,33884,147,0.5932724555196704
330,331,33,M,entertainment,91344,70,0.5744895344707897
331,332,20,M,student,40504,183,0.5643318095241069
332,333,47,M,other,V0R2M,26,0.4597717683689613
333,334,32,M,librarian,30002,333,0.630013823804719
334,335,45,M,executive,33775,22,0.403579987215821
335,336,23,M,salesman,42101,130,0.6132724461922026
336,337,37,M,scientist,10522,34,0.5310660475615101
337,338,39,F,librarian,59717,75,0.45295668367806385
338,339,35,M,lawyer,37901,254,0.556210747344433
339,340,46,M,engineer,80123,44,0.43593203011524245
340,341,17,F,student,44405,21,0.40784405716853356
341,342,25,F,other,98006,201,0.5916528739227908
342,343,43,M,engineer,30093,237,0.6414646578623107
343,344,30,F,librarian,94117,190,0.5534751209391444
344,345,28,F,librarian,94143,232,0.5884264967035985
345,346,34,M,other,76059,193,0.5883681638782317
